gene,expt,time,expression
YAL008W,alpha,77,0.31
YAL009W,alpha,77,0.36
YAL010C,alpha,77,0.31
YAL011W,alpha,77,0.47
YAL001C,alpha,84,-0.25
YAL002W,alpha,84,-0.26
YAL003W,alpha,84,0.01
YAL004W,alpha,84,-0.47
YAL005C,alpha,84,-0.3
YAL007C,alpha,84,0.04
YAL008W,alpha,84,-0.09
YAL009W,alpha,84,-0.11
YAL010C,alpha,84,0.1
YAL011W,alpha,84,-0.3
YAL001C,alpha,91,-0.01
YAL002W,alpha,91,-0.3
YAL003W,alpha,91,0.04
YAL004W,alpha,91,-0.16
YAL005C,alpha,91,-0.18
YAL007C,alpha,91,0.09
YAL008W,alpha,91,0.02
YAL009W,alpha,91,0
YAL010C,alpha,91,-0.14
YAL011W,alpha,91,-0.41
YAL001C,alpha,98,-0.13
YAL002W,alpha,98,0.22
YAL003W,alpha,98,0.05
YAL004W,alpha,98,-0.11
YAL005C,alpha,98,-0.3
YAL007C,alpha,98,0.18
YAL008W,alpha,98,-0.45
YAL009W,alpha,98,-0.27
YAL010C,alpha,98,-0.71
YAL011W,alpha,98,1.04
YAL001C,alpha,105,0.77
YAL002W,alpha,105,0.58
YAL003W,alpha,105,0.55
YAL004W,alpha,105,0.23
YAL005C,alpha,105,0.68
YAL007C,alpha,105,0.16
YAL008W,alpha,105,0.47
YAL009W,alpha,105,0.46
YAL010C,alpha,105,0.51
YAL011W,alpha,105,0.54
YAL001C,alpha,112,-0.21
YAL002W,alpha,112,-0.36
YAL003W,alpha,112,-0.08
YAL004W,alpha,112,-0.45
YAL005C,alpha,112,-0.24
YAL007C,alpha,112,-0.01
YAL008W,alpha,112,-0.49
YAL009W,alpha,112,0.23
YAL010C,alpha,112,0.31
YAL011W,alpha,112,-0.16
YAL001C,alpha,119,0.43
YAL002W,alpha,119,0.13
YAL003W,alpha,119,0.33
YAL004W,alpha,119,0.02
YAL005C,alpha,119,0.22
YAL007C,alpha,119,-0.21
YAL008W,alpha,119,0.22
YAL009W,alpha,119,-0.06
YAL010C,alpha,119,0.13
YAL011W,alpha,119,0.07
YAL001C,cdc15,10,-0.16
YAL002W,cdc15,10,NA
YAL003W,cdc15,10,-0.37
YAL004W,cdc15,10,NA
YAL005C,cdc15,10,-0.43
YAL007C,cdc15,10,NA
YAL008W,cdc15,10,-0.2
YAL009W,cdc15,10,NA
YAL010C,cdc15,10,-0.24
YAL011W,cdc15,10,NA
YAL001C,cdc15,30,0.09
YAL002W,cdc15,30,NA
YAL003W,cdc15,30,-0.22
YAL004W,cdc15,30,NA
YAL005C,cdc15,30,-1.33
YAL007C,cdc15,30,NA
YAL008W,cdc15,30,0.04
YAL009W,cdc15,30,-0.02
YAL010C,cdc15,30,-0.06
YAL011W,cdc15,30,NA
YAL001C,cdc15,50,-0.23
YAL002W,cdc15,50,NA
YAL003W,cdc15,50,-0.16
YAL004W,cdc15,50,NA
YAL005C,cdc15,50,-1.53
YAL007C,cdc15,50,NA
YAL008W,cdc15,50,-0.27
YAL009W,cdc15,50,0
YAL010C,cdc15,50,-0.11
YAL011W,cdc15,50,NA
YAL001C,cdc15,70,0.03
YAL002W,cdc15,70,-0.58
YAL003W,cdc15,70,0.04
YAL004W,cdc15,70,-1.5
YAL005C,cdc15,70,-1.53
YAL007C,cdc15,70,0.14
YAL008W,cdc15,70,-0.4
YAL009W,cdc15,70,0.07
YAL010C,cdc15,70,-0.25
YAL011W,cdc15,70,-0.29
YAL001C,cdc15,80,-0.04
YAL002W,cdc15,80,0.23
YAL003W,cdc15,80,0.53
YAL004W,cdc15,80,-0.03
YAL005C,cdc15,80,-0.37
YAL007C,cdc15,80,0.58
YAL008W,cdc15,80,0.44
YAL009W,cdc15,80,0.14
YAL010C,cdc15,80,0.4
YAL011W,cdc15,80,-0.09
YAL001C,cdc15,90,-0.12
YAL002W,cdc15,90,-0.23
YAL003W,cdc15,90,-0.25
YAL004W,cdc15,90,-1.2
YAL005C,cdc15,90,-1.65
YAL007C,cdc15,90,0.25
YAL008W,cdc15,90,-0.73
YAL009W,cdc15,90,0.17
YAL010C,cdc15,90,-0.52
YAL011W,cdc15,90,0.02
YAL001C,cdc15,100,-0.28
YAL002W,cdc15,100,0.08
YAL003W,cdc15,100,0.08
YAL004W,cdc15,100,-0.06
YAL005C,cdc15,100,-0.71
YAL007C,cdc15,100,0.03
YAL008W,cdc15,100,0.03
YAL009W,cdc15,100,0.23
YAL010C,cdc15,100,0.19
YAL011W,cdc15,100,0.29
YAL001C,cdc15,110,-0.44
YAL002W,cdc15,110,-0.62
YAL003W,cdc15,110,-0.24
YAL004W,cdc15,110,-1.78
YAL005C,cdc15,110,-1.53
YAL007C,cdc15,110,-1
YAL008W,cdc15,110,-0.69
YAL009W,cdc15,110,0.19
YAL010C,cdc15,110,-0.31
YAL011W,cdc15,110,-0.52
YAL001C,cdc15,120,-0.09
YAL002W,cdc15,120,0.55
YAL003W,cdc15,120,0.37
YAL004W,cdc15,120,0.14
YAL005C,cdc15,120,-0.1
YAL007C,cdc15,120,0
YAL008W,cdc15,120,0.55
YAL009W,cdc15,120,-0.1
YAL010C,cdc15,120,0.63
YAL011W,cdc15,120,0.02
YAL001C,cdc15,130,0.12
YAL002W,cdc15,130,-0.32
YAL003W,cdc15,130,-0.22
YAL004W,cdc15,130,-1.13
YAL005C,cdc15,130,-1.15
YAL007C,cdc15,130,-0.41
YAL008W,cdc15,130,-0.53
YAL009W,cdc15,130,0
YAL010C,cdc15,130,-0.31
YAL011W,cdc15,130,-0.15
YAL001C,cdc15,140,0.06
YAL002W,cdc15,140,0.03
YAL003W,cdc15,140,0.16
YAL004W,cdc15,140,-0.13
YAL005C,cdc15,140,-0.33
YAL007C,cdc15,140,0.1
YAL008W,cdc15,140,0.1
YAL009W,cdc15,140,-0.21
YAL010C,cdc15,140,0.15
YAL011W,cdc15,140,0.06
YAL001C,cdc15,150,-0.04
YAL002W,cdc15,150,-0.56
YAL003W,cdc15,150,-0.21
YAL004W,cdc15,150,-1.27
YAL005C,cdc15,150,-1.15
YAL007C,cdc15,150,0.14
YAL008W,cdc15,150,-0.2
YAL009W,cdc15,150,0.01
YAL010C,cdc15,150,-0.27
YAL011W,cdc15,150,-0.17
YAL001C,cdc15,160,0.31
YAL002W,cdc15,160,0.47
YAL003W,cdc15,160,0.03
YAL004W,cdc15,160,-0.27
YAL005C,cdc15,160,-0.19
YAL007C,cdc15,160,0.4
YAL008W,cdc15,160,0.29
YAL009W,cdc15,160,-0.13
YAL010C,cdc15,160,0.5
YAL011W,cdc15,160,0.51
YAL001C,cdc15,170,0.59
YAL002W,cdc15,170,-0.15
YAL003W,cdc15,170,0.03
YAL004W,cdc15,170,-0.94
YAL005C,cdc15,170,-0.84
YAL007C,cdc15,170,0.2
YAL008W,cdc15,170,-0.15
YAL009W,cdc15,170,-1.38
YAL010C,cdc15,170,-0.14
YAL011W,cdc15,170,-0.2
YAL001C,cdc15,180,0.34
YAL002W,cdc15,180,0.49
YAL003W,cdc15,180,0.48
YAL004W,cdc15,180,0.14
YAL005C,cdc15,180,0.52
YAL007C,cdc15,180,0.24
YAL008W,cdc15,180,0.6
YAL009W,cdc15,180,0.16
YAL010C,cdc15,180,0.46
YAL011W,cdc15,180,0.25
YAL001C,cdc15,190,-0.28
YAL002W,cdc15,190,NA
YAL003W,cdc15,190,NA
YAL004W,cdc15,190,NA
YAL005C,cdc15,190,NA
YAL007C,cdc15,190,NA
YAL008W,cdc15,190,NA
YAL009W,cdc15,190,0.05
YAL010C,cdc15,190,NA
YAL011W,cdc15,190,NA
YAL001C,cdc15,200,-0.09
YAL002W,cdc15,200,0.23
YAL003W,cdc15,200,0.22
YAL004W,cdc15,200,1.04
YAL005C,cdc15,200,1.18
YAL007C,cdc15,200,0.26
YAL008W,cdc15,200,0.07
YAL009W,cdc15,200,0.29
YAL010C,cdc15,200,0.13
YAL011W,cdc15,200,-0.14
YAL001C,cdc15,210,-0.44
YAL002W,cdc15,210,-0.49
YAL003W,cdc15,210,-0.06
YAL004W,cdc15,210,0.48
YAL005C,cdc15,210,0.88
YAL007C,cdc15,210,-0.39
YAL008W,cdc15,210,-0.31
YAL009W,cdc15,210,0.04
YAL010C,cdc15,210,-0.56
YAL011W,cdc15,210,-0.22
YAL001C,cdc15,220,0.31
YAL002W,cdc15,220,0.33
YAL003W,cdc15,220,0.08
YAL004W,cdc15,220,1.94
YAL005C,cdc15,220,1.8
YAL007C,cdc15,220,0.43
YAL008W,cdc15,220,0.3
YAL009W,cdc15,220,0.39
YAL010C,cdc15,220,0.19
YAL011W,cdc15,220,0.23
YAL001C,cdc15,230,0.03
YAL002W,cdc15,230,0.18
YAL003W,cdc15,230,0.56
YAL004W,cdc15,230,1.62
YAL005C,cdc15,230,2.24
YAL007C,cdc15,230,-0.26
YAL008W,cdc15,230,0.5
YAL009W,cdc15,230,-0.21
YAL010C,cdc15,230,0.71
YAL011W,cdc15,230,0.23
YAL001C,cdc15,240,0.57
YAL002W,cdc15,240,0.65
YAL003W,cdc15,240,0.48
YAL004W,cdc15,240,1.73
YAL005C,cdc15,240,2.34
YAL007C,cdc15,240,-0.33
YAL008W,cdc15,240,0.82
YAL009W,cdc15,240,0.29
YAL010C,cdc15,240,0.73
YAL011W,cdc15,240,0.36
YAL001C,cdc15,250,0
YAL002W,cdc15,250,-0.29
YAL003W,cdc15,250,-0.47
YAL004W,cdc15,250,1.22
YAL005C,cdc15,250,1.43
YAL007C,cdc15,250,-0.37
YAL008W,cdc15,250,-0.08
YAL009W,cdc15,250,0
YAL010C,cdc15,250,-0.4
YAL011W,cdc15,250,-0.19
YAL001C,cdc15,270,0.02
YAL002W,cdc15,270,NA
YAL003W,cdc15,270,-0.45
YAL004W,cdc15,270,NA
YAL005C,cdc15,270,1.27
YAL007C,cdc15,270,NA
YAL008W,cdc15,270,-0.13
YAL009W,cdc15,270,0
YAL010C,cdc15,270,-0.4
YAL011W,cdc15,270,NA
YAL001C,cdc15,290,-0.26
YAL002W,cdc15,290,NA
YAL003W,cdc15,290,-0.41
YAL004W,cdc15,290,NA
YAL005C,cdc15,290,1.18
YAL007C,cdc15,290,NA
YAL008W,cdc15,290,-0.04
YAL009W,cdc15,290,0.03
YAL010C,cdc15,290,-0.52
YAL011W,cdc15,290,NA
YAL001C,cdc28,0,-0.19
YAL002W,cdc28,0,0.83
YAL003W,cdc28,0,-0.36
YAL004W,cdc28,0,1.64
YAL005C,cdc28,0,1.55
YAL007C,cdc28,0,-0.59
YAL008W,cdc28,0,1.15
YAL009W,cdc28,0,0.39
YAL010C,cdc28,0,0.7
YAL011W,cdc28,0,-0.06
YAL001C,cdc28,10,-0.77
YAL002W,cdc28,10,-0.01
YAL003W,cdc28,10,-0.22
YAL004W,cdc28,10,1.14
YAL005C,cdc28,10,1.58
YAL007C,cdc28,10,-0.16
YAL008W,cdc28,10,0.67
YAL009W,cdc28,10,-0.87
YAL010C,cdc28,10,-0.04
YAL011W,cdc28,10,-0.44
YAL001C,cdc28,20,-0.17
YAL002W,cdc28,20,-0.77
YAL003W,cdc28,20,0.22
YAL004W,cdc28,20,0.88
YAL005C,cdc28,20,1.34
YAL007C,cdc28,20,0.66
YAL008W,cdc28,20,0.94
YAL009W,cdc28,20,-0.13
YAL010C,cdc28,20,-0.33
YAL011W,cdc28,20,-0.47
YAL001C,cdc28,30,-0.19
YAL002W,cdc28,30,-0.62
YAL003W,cdc28,30,-0.28
YAL004W,cdc28,30,-0.07
YAL005C,cdc28,30,0.01
YAL007C,cdc28,30,-0.1
YAL008W,cdc28,30,NA
YAL009W,cdc28,30,-0.71
YAL010C,cdc28,30,-0.27
YAL011W,cdc28,30,-0.73
YAL001C,cdc28,40,0.13
YAL002W,cdc28,40,0.14
YAL003W,cdc28,40,0.41
YAL004W,cdc28,40,0.03
YAL005C,cdc28,40,0.53
YAL007C,cdc28,40,0.07
YAL008W,cdc28,40,-0.38
YAL009W,cdc28,40,0.2
YAL010C,cdc28,40,-0.02
YAL011W,cdc28,40,0.54
YAL001C,cdc28,50,-0.36
YAL002W,cdc28,50,-0.58
YAL003W,cdc28,50,-0.8
YAL004W,cdc28,50,-1.18
YAL005C,cdc28,50,-0.8
YAL007C,cdc28,50,-0.33
YAL008W,cdc28,50,-0.91
YAL009W,cdc28,50,-0.73
YAL010C,cdc28,50,-0.85
YAL011W,cdc28,50,-0.4
YAL001C,cdc28,60,-0.55
YAL002W,cdc28,60,-0.05
YAL003W,cdc28,60,0.42
YAL004W,cdc28,60,0.07
YAL005C,cdc28,60,-0.16
YAL007C,cdc28,60,0.41
YAL008W,cdc28,60,-0.05
YAL009W,cdc28,60,0.28
YAL010C,cdc28,60,0.2
YAL011W,cdc28,60,0.43
YAL001C,cdc28,70,-0.07
YAL002W,cdc28,70,0.23
YAL003W,cdc28,70,0.05
YAL004W,cdc28,70,-0.34
YAL005C,cdc28,70,-0.61
YAL007C,cdc28,70,-0.23
YAL008W,cdc28,70,-0.91
YAL009W,cdc28,70,0.25
YAL010C,cdc28,70,0.33
YAL011W,cdc28,70,0.33
YAL001C,cdc28,80,-0.01
YAL002W,cdc28,80,0.2
YAL003W,cdc28,80,-0.47
YAL004W,cdc28,80,-0.73
YAL005C,cdc28,80,-0.9
YAL007C,cdc28,80,-0.51
YAL008W,cdc28,80,-0.79
YAL009W,cdc28,80,0.1
YAL010C,cdc28,80,0.15
YAL011W,cdc28,80,-0.09
YAL001C,cdc28,90,0.03
YAL002W,cdc28,90,0.23
YAL003W,cdc28,90,1.06
YAL004W,cdc28,90,-0.18
YAL005C,cdc28,90,-0.07
YAL007C,cdc28,90,0.58
YAL008W,cdc28,90,0.52
YAL009W,cdc28,90,0.06
YAL010C,cdc28,90,-0.18
YAL011W,cdc28,90,0.62
YAL001C,cdc28,100,0.27
YAL002W,cdc28,100,0.08
YAL003W,cdc28,100,-2.82
YAL004W,cdc28,100,-0.6
YAL005C,cdc28,100,-0.96
YAL007C,cdc28,100,0.07
YAL008W,cdc28,100,-0.3
YAL009W,cdc28,100,0.18
YAL010C,cdc28,100,-0.24
YAL011W,cdc28,100,-0.12
YAL001C,cdc28,110,0.49
YAL002W,cdc28,110,-0.03
YAL003W,cdc28,110,0.38
YAL004W,cdc28,110,-0.16
YAL005C,cdc28,110,-0.53
YAL007C,cdc28,110,0.32
YAL008W,cdc28,110,0.21
YAL009W,cdc28,110,0.5
YAL010C,cdc28,110,-0.03
YAL011W,cdc28,110,0.03
YAL001C,cdc28,120,0.85
YAL002W,cdc28,120,0.39
YAL003W,cdc28,120,-0.22
YAL004W,cdc28,120,-0.12
YAL005C,cdc28,120,-0.66
YAL007C,cdc28,120,0.01
YAL008W,cdc28,120,0.03
YAL009W,cdc28,120,0.33
YAL010C,cdc28,120,0.24
YAL011W,cdc28,120,-0.17
YAL001C,cdc28,130,0.66
YAL002W,cdc28,130,-0.09
YAL003W,cdc28,130,0.47
YAL004W,cdc28,130,-0.38
YAL005C,cdc28,130,NA
YAL007C,cdc28,130,0.17
YAL008W,cdc28,130,-0.08
YAL009W,cdc28,130,0.06
YAL010C,cdc28,130,NA
YAL011W,cdc28,130,0.36
YAL001C,cdc28,140,-0.24
YAL002W,cdc28,140,NA
YAL003W,cdc28,140,0.89
YAL004W,cdc28,140,0.01
YAL005C,cdc28,140,-0.27
YAL007C,cdc28,140,NA
YAL008W,cdc28,140,-0.1
YAL009W,cdc28,140,NA
YAL010C,cdc28,140,0.11
YAL011W,cdc28,140,0.18
YAL001C,cdc28,150,0.03
YAL002W,cdc28,150,0.19
YAL003W,cdc28,150,0.48
YAL004W,cdc28,150,NA
YAL005C,cdc28,150,-0.41
YAL007C,cdc28,150,-0.21
YAL008W,cdc28,150,NA
YAL009W,cdc28,150,-0.35
YAL010C,cdc28,150,0.14
YAL011W,cdc28,150,NA
YAL001C,cdc28,160,0.09
YAL002W,cdc28,160,-0.14
YAL003W,cdc28,160,0.8
YAL004W,cdc28,160,NA
YAL005C,cdc28,160,0.35
YAL007C,cdc28,160,-0.14
YAL008W,cdc28,160,NA
YAL009W,cdc28,160,0.44
YAL010C,cdc28,160,0.08
YAL011W,cdc28,160,NA
YAL001C,elu,0,0.3
YAL002W,elu,0,0.14
YAL003W,elu,0,-1.54
YAL004W,elu,0,0.36
YAL005C,elu,0,-0.09
YAL007C,elu,0,-0.17
YAL008W,elu,0,0.2
YAL009W,elu,0,0.49
YAL010C,elu,0,0.67
YAL011W,elu,0,0.03
YAL001C,elu,30,-0.12
YAL002W,elu,30,0.17
YAL003W,elu,30,-0.3
YAL004W,elu,30,0.1
YAL005C,elu,30,-0.02
YAL007C,elu,30,-0.28
YAL008W,elu,30,0.4
YAL009W,elu,30,0.23
YAL010C,elu,30,0.52
YAL011W,elu,30,-0.13
YAL001C,elu,60,0.24
YAL002W,elu,60,0.03
YAL003W,elu,60,NA
YAL004W,elu,60,0.11
YAL005C,elu,60,NA
YAL007C,elu,60,-0.16
YAL008W,elu,60,-0.59
YAL009W,elu,60,0.06
YAL010C,elu,60,NA
YAL011W,elu,60,0.03
YAL001C,elu,90,0.18
YAL002W,elu,90,0.35
YAL003W,elu,90,0.39
YAL004W,elu,90,0.14
YAL005C,elu,90,0.25
YAL007C,elu,90,0.2
YAL008W,elu,90,0.29
YAL009W,elu,90,0.32
YAL010C,elu,90,-0.5
YAL011W,elu,90,0.16
YAL001C,elu,120,-0.24
YAL002W,elu,120,0.03
YAL003W,elu,120,0.18
YAL004W,elu,120,-0.15
YAL005C,elu,120,-0.45
YAL007C,elu,120,0.36
YAL008W,elu,120,-0.42
YAL009W,elu,120,0.12
YAL010C,elu,120,-0.34
YAL011W,elu,120,0.26
YAL001C,elu,150,0.11
YAL002W,elu,150,-0.08
YAL003W,elu,150,0.28
YAL004W,elu,150,-0.73
YAL005C,elu,150,-0.83
YAL007C,elu,150,0.17
YAL008W,elu,150,-0.16
YAL009W,elu,150,0.12
YAL010C,elu,150,-0.17
YAL011W,elu,150,-0.01
YAL001C,elu,180,-0.12
YAL002W,elu,180,-0.13
YAL003W,elu,180,0.15
YAL004W,elu,180,-0.79
YAL005C,elu,180,-0.26
YAL007C,elu,180,0.39
YAL008W,elu,180,0.2
YAL009W,elu,180,0.29
YAL010C,elu,180,0.37
YAL011W,elu,180,-0.15
YAL001C,elu,210,0.37
YAL002W,elu,210,-0.21
YAL003W,elu,210,0.4
YAL004W,elu,210,-0.2
YAL005C,elu,210,-0.16
YAL007C,elu,210,0.1
YAL008W,elu,210,0.07
YAL009W,elu,210,-0.1
YAL010C,elu,210,-0.08
YAL011W,elu,210,-0.17
YAL001C,elu,240,0.07
YAL002W,elu,240,-0.06
YAL003W,elu,240,0.24
YAL004W,elu,240,0.34
YAL005C,elu,240,0.3
YAL007C,elu,240,0
YAL008W,elu,240,0.01
YAL009W,elu,240,-0.41
YAL010C,elu,240,-0.01
YAL011W,elu,240,0.08
YAL001C,elu,270,-0.09
YAL002W,elu,270,-0.1
YAL003W,elu,270,0.22
YAL004W,elu,270,0.07
YAL005C,elu,270,0.21
YAL007C,elu,270,-0.16
YAL008W,elu,270,-0.04
YAL009W,elu,270,-0.65
YAL010C,elu,270,0.02
YAL011W,elu,270,0.11
YAL001C,elu,300,-0.32
YAL002W,elu,300,-0.19
YAL003W,elu,300,-0.27
YAL004W,elu,300,-0.59
YAL005C,elu,300,-0.43
YAL007C,elu,300,0.29
YAL008W,elu,300,-0.02
YAL009W,elu,300,-0.07
YAL010C,elu,300,0.34
YAL011W,elu,300,-0.13
YAL001C,elu,330,0.04
YAL002W,elu,330,0.08
YAL003W,elu,330,-0.1
YAL004W,elu,330,0.35
YAL005C,elu,330,0.21
YAL007C,elu,330,-0.06
YAL008W,elu,330,0.19
YAL009W,elu,330,-0.35
YAL010C,elu,330,0.05
YAL011W,elu,330,-0.09
YAL001C,elu,360,-0.48
YAL002W,elu,360,0.01
YAL003W,elu,360,0.34
YAL004W,elu,360,0.66
YAL005C,elu,360,0.6
YAL007C,elu,360,-0.26
YAL008W,elu,360,-0.42
YAL009W,elu,360,-0.19
YAL010C,elu,360,-0.93
YAL011W,elu,360,-0.01
YAL001C,elu,390,0.04
YAL002W,elu,390,-0.02
YAL003W,elu,390,0.02
YAL004W,elu,390,0.32
YAL005C,elu,390,0.65
YAL007C,elu,390,-0.41
YAL008W,elu,390,0.29
YAL009W,elu,390,0.15
YAL010C,elu,390,0.05
YAL011W,elu,390,0.01
